120,HARTZELL/CORBEN BABY ACE D,3,30000.0,10.0,594.0
121,ALLEN/CORBEN JR ACE,3,30000.0,10.0,594.0
122,TROTTER/JUNIOR ACE,3,30000.0,10.0,594.0
123,"SHAW/JR. ACE MODEL ""E""",3,30000.0,10.0,594.0
124,DUERR/JUNIOR ACE MODEL E,3,30000.0,10.0,594.0
125,"JENKINS HIGH SCHOOL/JR. ACE ""E""",3,30000.0,10.0,594.0
126,REED/CORBEN JR. ACE E,3,30000.0,10.0,594.0
127,"MILHOLLAND/JUNIOR ACE MODEL ""E""",3,30000.0,10.0,594.0
128,HILBERT/CORBIN JR. ACE MOD.,3,30000.0,10.0,594.0
129,WOODWORTH/JUNIOR ACE E,3,30000.0,10.0,594.0
130,WHITE/JR.ACE MODEL-E,3,30000.0,10.0,594.0
131,GEBERT/CORBEN ACE JR E,3,30000.0,10.0,594.0
132,E.A.A. CHAPTER 22/JUNIOR ACE,3,30000.0,10.0,594.0
133,WILBERDING/JUNIOR ACE-E,3,30000.0,10.0,594.0
134,LINDQUIST/JUNIOR ACE E,3,30000.0,10.0,594.0
135,ADAMS-WILSON/HOBBYCOPTER,3,30000.0,10.0,324.0
136,AEROCAR/ONE,3,30000.0,10.0,630.0
137,AEROTEK/PITTS S-2,3,30000.0,10.0,760.5
138,AEROTEK/PITTS S-2A,3,30000.0,10.0,832.5
139,AEROTEK/PITTS SPECIAL S-1S,3,30000.0,10.0,832.5
140,AERO COMMANDER/100,3,30000.0,10.0,544.5
141,AERO COMMANDER/DARTER 100/150,3,30000.0,10.0,733.5
142,AERO COMMANDER/100A,3,30000.0,10.0,544.5
143,AERO COMMANDER/100-180,3,30000.0,10.0,760.5
144,AERO COMMANDER/200,3,30000.0,10.0,1138.5
145,AERO COMMANDER/200D,3,30000.0,10.0,1138.5
146,AERO COMMANDER/200E,3,30000.0,10.0,1138.5
147,AERO COMMANDER/500,3,60.0,20.0,1179.0
148,AERO COMMANDER/500-A,3,60.0,20.0,1246.5
149,AERO COMMANDER/500-B,3,60.0,20.0,1246.5
150,AERO COMMANDER/500 S,3,60.0,20.0,1246.5
151,AERO COMMANDER/500-U,3,60.0,20.0,1246.5
152,AERO COMMANDER/520,3,60.0,20.0,1066.5
153,AERO COMMANDER/560,3,60.0,20.0,1260.0
154,AERO COMMANDER/560-A,3,60.0,20.0,1260.0
155,AERO COMMANDER/560-E,3,60.0,20.0,1260.0
156,AERO COMMANDER/560-F,3,60.0,20.0,1260.0
157,AERO COMMANDER/680,3,60.0,20.0,1363.5
158,AERO COMMANDER/680-E,3,60.0,20.0,1363.5
159,AERO COMMANDER/680-F,3,60.0,20.0,1363.5
160,AERO COMMANDER/680FL,3,60.0,20.0,1363.5
161,AERO COMMANDER/680FL P,3,60.0,20.0,1363.5
162,AERO COMMANDER/680FP,3,60.0,20.0,1354.5
163,AERO COMMANDER/685,3,60.0,20.0,733.5
